# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
2.341914523585074e+01 -2.494250286825831e+01 -5.341269327464908e-01
2.353338496870854e+01 -2.499842615886653e+01 -4.445794648931027e-01
2.364762470156633e+01 -2.504403047519515e+01 -3.537279801867489e-01
2.376186443442413e+01 -2.507925449256963e+01 -2.631054370702198e-01
2.387610416728193e+01 -2.510421079993245e+01 -1.742176456952970e-01
2.399034390013972e+01 -2.511918091094843e+01 -8.851149619983349e-02
2.410458363299752e+01 -2.512460705544110e+01 -7.350117113772639e-03
2.421882336585532e+01 -2.512108145150723e+01 6.800667909299868e-02
2.433306309871312e+01 -2.510933356484405e+01 1.364183396816198e-01
2.444730283157091e+01 -2.509021568698388e+01 1.968772383484055e-01
2.456154256442871e+01 -2.506468704280813e+01 2.485208309790156e-01
2.467578229728651e+01 -2.503379658652503e+01 2.906424323206256e-01
2.479002203014430e+01 -2.499866466331462e+01 3.227001900423084e-01
2.490426176300210e+01 -2.496046378520334e+01 3.443234697830722e-01
2.501850149585990e+01 -2.492039886805437e+01 3.553157624786296e-01
2.513274122871769e+01 -2.487968737081118e+01 3.556533961182159e-01
2.524698096157549e+01 -2.483953983911606e+01 3.454797338553320e-01
2.536122069443329e+01 -2.480114136184509e+01 3.250950776310368e-01
2.547546042729109e+01 -2.476563439187598e+01 2.949430529281059e-01
2.558970016014888e+01 -2.473410326622713e+01 2.555947075754560e-01
2.570393989300668e+01 -2.470756060256003e+01 2.077318226827040e-01
2.581817962586448e+01 -2.468693557419873e+01 1.521309564719872e-01
2.593241935872227e+01 -2.467306390258776e+01 8.964951916669320e-02
2.604665909158007e+01 -2.466667928067766e+01 2.121474690320693e-02
2.616089882443787e+01 -2.466840587332972e+01 -5.218413119543963e-02
2.627513855729567e+01 -2.467875154364154e+01 -1.295008812267073e-01
2.638937829015346e+01 -2.469810153065932e+01 -2.096353929463592e-01
2.650361802301126e+01 -2.472671244949288e+01 -2.914364931288488e-01
2.661785775586906e+01 -2.476470668670347e+01 -3.737064030896232e-01
2.673209748872685e+01 -2.481206750143224e+01 -4.552089988728968e-01
2.684633722158465e+01 -2.486863538736373e+01 -5.346839445083654e-01
2.696057695444245e+01 -2.493410646557309e+01 -6.108683279477358e-01
2.707481668730025e+01 -2.500803382074182e+01 -6.825265980421116e-01
2.718905642015804e+01 -2.508983271899656e+01 -7.484883997365021e-01
2.730329615301584e+01 -2.517879051778774e+01 -8.076924437076073e-01
2.741753588587364e+01 -2.527408177843756e+01 -8.592330418304936e-01
2.753177561873143e+01 -2.537478863199837e+01 -9.024046956604612e-01
